gene1,gene2,co-expression,BP,CC,MF,label,ppi
SMCP,TSPYL6,0.9999599158489237,0.1,0.35,0.9615384615384616,0,P49901:Q8N831
VENTX,ITGB3,0.2156811345703221,0.15184284772892365,0.3089118825100134,0.8414736164736164,0,O95231:P05106
HTRA3,HS1BP3,0.5270482594955831,0.14285714285714285,0.2,0.85,0,P83110:Q53T59
DNASE2,JDP2,0.6107051864289558,0.11409932659932659,0.18571428571428572,0.5265432098765431,0,O00115:Q8WYK2
FTL,SNF8,0.26582070347650866,0.08366742363605652,0.4753809523809523,0.9732142857142857,0,P02792:Q96H20
RNLS,RNLS,1.0,0.37229437229437234,0.875,0.5237012987012987,1,Q5VYX0:Q5VYX0
PPIL2,TMED3,0.4783368685692088,0.16984126984126982,0.27512755102040815,0.0,0,Q13356:Q9Y3Q3
SF3A3,IK,0.8657799519890707,0.44761904761904764,0.5341991341991342,1.0,-1,Q12874:Q13123
RPLP2,RPS3,0.9391906342890819,0.19542344248226598,0.5660110420979988,0.6262049941927991,-1,P05387:P23396
RPS23,RPL10A,0.9508005140672494,0.82,0.6422161172161173,0.7,-1,P62266:P62906
UBB,ANAPC13,0.2795160734384887,0.29357864357864355,0.125,1.0,-1,P0CG47:Q9BS18
TNNI3,TNNI3,1.0,0.2849494949494949,0.5854700854700854,0.83203125,1,P19429:P19429
HTATSF1,SNRPB,0.08284424450607217,0.7103174603174602,0.4851279317697229,0.9495370370370372,1,O43719:P14678
CEP63,ZNF302,0.60004206765584,0.1,0.25,0.8085470085470085,0,Q96MT8:Q9NR11
SCGB1D2,VBP1,-0.16393427973399238,0.0,0.32916666666666666,0.0,0,O95969:P61758
MRPS5,MRPL52,0.6521644675623078,1.0,0.43397727272727293,0.5,-1,P82675:Q86TS9
UBE2N,UBE2N,1.0,0.35549651766654206,0.6549523809523811,0.8576892109500807,1,P61088:P61088
DEFB109B,SH3BGRL3,0.0,0.14285714285714285,0.33888888888888885,0.2222222222222222,0,Q30KR1:Q9H299
GLYATL1B,ATP1B3,0.0765701909068929,0.06136454581832732,0.14773448773448772,0.11488095238095242,0,A0A0U1RQE8:P54709
RPS25,FUBP1,0.7804264893801858,0.07564102564102564,0.5800000000000001,0.845,0,P62851:Q96AE4
HUS1,RFC2,0.5628564507358176,0.3598290598290598,0.9433823529411766,0.7164902998236331,-1,O60921:P35250
IL6,DPCD,-0.0310197153073863,0.24206349206349206,0.6,1.0,0,P05231:Q9BVM2
RPS14,RPL36A,0.957703576210111,1.0,0.7161490683229814,0.6666666666666667,-1,P62263:P83881
H2BC11,UBE2D3,0.2246876010890319,0.09148599938073623,0.7893939393939394,0.7918595679012346,1,P06899:P61077
MRPL23,IL23A,0.1335251743909257,0.07567466547058384,0.39,0.8518518518518517,0,Q16540:Q9NPF7
NDUFB8,NDUFB2,0.5007467234236996,0.3844535094535095,0.6557692307692307,1.0,1,O95169:O95178
NOA1,MRPS18B,0.589682996573999,0.13095238095238096,0.28991477272727273,0.94,-1,Q8NC60:Q9Y676
EFNB1,ZBTB46,0.1851840882403453,0.11174242424242427,0.4666666666666666,0.17738095238095236,0,P98172:Q86UZ6
OST4,OSTC,0.7170570433578696,1.0,0.78125,0.7083333333333334,-1,P0C6T2:Q9NRP0
EIF1AX,SPANXD,-0.07524062041650227,0.0,0.6,1.0,0,P47813:Q9BXN6
CHCHD1,MRPL11,0.7673800091792558,1.0,0.4563131313131314,0.9108527131782945,-1,Q96BP2:Q9Y3B7
IGFBP5,CHODL,-0.06418597706972604,0.25,0.4236111111111111,0.8958333333333334,-1,P24593:Q9H9P2
EIF2S2,RPS24,0.6284226276339082,0.18214285714285713,0.7233766233766233,0.40952380952380946,-1,P20042:P62847
METTL15,MRPS33,0.5207469553115394,0.09545454545454546,0.27789256198347106,0.25,-1,A6NJ78:Q9Y291
TCTA,DIS3,0.25662981365039433,0.09247835497835499,0.3954648526077097,0.6654761904761904,0,P57738:Q9Y2L1
MRPL24,MRM2,0.6101536859647511,0.12176527176527174,0.5833333333333334,0.1,-1,Q96A35:Q9UI43
CSF2RA,EWSR1,0.03473545998046838,0.125,0.3488888888888889,0.9083333333333334,0,P15509:Q01844
RPS25,PA2G4,0.672090309398135,0.2525461466637937,0.41595238095238096,0.7083333333333333,-1,P62851:Q9UQ80
NPAS2,MRPL22,-0.031422919591701445,0.13392857142857142,0.1956168831168831,0.3333333333333333,0,Q99743:Q9NWU5
HSPD1,PEX5,-0.031042241419241334,0.24783111894944992,0.4340722495894909,0.7466244725738397,0,P10809:P50542
DSN1,L2HGDH,0.2947364567664542,0.22916666666666666,0.35000000000000003,0.16666666666666666,0,Q9H410:Q9H9P8
SSTR5,NELFCD,-0.0034783322688344436,0.1111111111111111,0.33022774327122156,0.953125,0,P35346:Q8IXH7
GTF2F1,SNAPC4,0.8482560629591473,0.6666666666666666,0.8,0.6009259259259259,-1,P35269:Q5SXM2
SEC61G,RPL37A,0.5512898350337829,0.08585858585858586,0.6724206349206349,0.6545454545454545,-1,P60059:P61513
RPL34,BRIX1,0.6692417732186378,0.12142857142857143,0.8333333333333334,0.7458333333333332,-1,P49207:Q8TDN6
NDUFB4,NDUFB2,0.5358009785122277,0.3844535094535095,0.6557692307692307,1.0,-1,O95168:O95178
NDUFA3,NDUFC2,0.3702925862588025,0.2043349507635222,0.480892857142857,0.7083333333333334,-1,O95167:O95298
SLITRK5,NSL1,0.3902170306908706,0.15555555555555556,0.26904761904761904,1.0,0,O94991:Q96IY1
POU3F2,SCN4B,0.46762287469985464,0.12837527056277057,0.18253968253968256,0.4524350649350649,0,P20265:Q8IWT1
ENO4,PRAF2,0.3989317786133603,0.059027777777777776,0.1661375661375661,0.16666666666666669,0,A6NNW6:O60831
LINS1,ACD,0.5861305995790373,0.0887996776885666,0.0,0.0,0,Q8NG48:Q96AP0
RPS17,RPS29,0.8898739956595924,1.0,0.7327891156462585,0.5555555555555556,-1,P08708:P62273
RPS2,CCDC124,0.2526689189118496,0.14444444444444446,0.5066666666666666,0.6041666666666666,-1,P15880:Q96CT7
NMD3,ARPC5L,0.2161158651890303,0.10173160173160173,0.33888888888888885,0.23928571428571427,0,Q96D46:Q9BPX5
CAMSAP2,COPS6,0.7339828501862705,0.08465608465608465,0.48124999999999996,0.9601190476190476,0,Q08AD1:Q7L5N1
ERCC2,CETN2,0.36464437584630144,0.2505896880896881,0.6301282051282052,0.9009009009009011,-1,P18074:P41208
EXOSC2,FBXL21P,-0.04997051266059773,0.1380952380952381,0.7932291666666667,0.7083333333333334,0,Q13868:Q9UKT6
RPL41,RPL18A,0.9446140487045709,1.0,0.7218614718614718,0.5833333333333334,-1,P62945:Q02543
EIF4EBP3,GSN,0.2286534130687133,0.07309246573952458,0.3893537414965986,0.9778751123090745,0,O60516:P06396
PPL,SNRPD3,0.22638996516140364,0.09959802102659246,0.3861382909328115,0.8857723577235771,0,O60437:P62318
SNU13,NOL7,0.5501682793401776,0.5416666666666666,0.5763888888888888,0.625,-1,P55769:Q9UMY1
CEP63,TAS2R8,0.09451953196929976,0.17777777777777778,0.38095238095238093,0.3238095238095238,0,Q96MT8:Q9NYW2
MCM7,ELOC,0.38160581347509187,0.10795206971677558,0.6265723270440251,0.9732704402515723,-1,P33993:Q15369
MRPL33,MRPS18B,0.37699022596018594,1.0,0.5086647727272727,0.31,-1,O75394:Q9Y676
SURF6,RPL12,0.697495994340429,0.11805555555555555,0.3864761904761905,0.4523809523809524,0,O75683:P30050
RPS15,CCDC124,0.4624581432098833,0.14444444444444446,0.5066666666666666,0.6041666666666666,1,P62841:Q96CT7
MRPL9,MRPS18B,0.573912634059629,1.0,0.5086647727272727,0.94,-1,Q9BYD2:Q9Y676
RPS19,CCDC124,0.28383394886798435,0.14444444444444446,0.5066666666666666,0.6041666666666666,-1,P39019:Q96CT7
MRPS31,GFM1,0.6736173758390867,0.25,0.7083333333333334,0.3663194444444444,-1,Q92665:Q96RP9
RPS9,RPS9,1.0,0.6023809523809525,0.669426406926407,0.5533333333333333,0,P46781:P46781
UCHL1,TRIM29,-0.14833030585771828,0.13035714285714287,0.17142857142857143,0.9527310924369746,0,P09936:Q14134
SLIRP,MRPL44,0.49088166656832244,0.11904761904761904,0.2947390572390572,0.5833333333333333,-1,Q9GZT3:Q9H9J2
PSMC1,PSMC5,0.6221148358406389,0.41024436090225563,0.8179197994987469,0.9313822751322751,1,P62191:P62195
NUP62,NUP107,0.8535088055157267,0.3839597902097902,0.4354166666666667,0.8875,-1,P37198:P57740
BTBD8,BRK1,-0.056847173082105615,0.08382173382173383,0.3743589743589744,0.0,0,Q5XKL5:Q8WUW1
CMC4,H2AC6,-0.16383033604954148,0.0,0.3125,0.0,0,P56277:Q93077
PRPH,RAC1,-0.07707737677838215,0.10751123163588147,0.7630407124681935,0.9104813762626263,0,P41219:P63000
TP53,RPA1,0.849867766170528,0.42177904400126615,0.9057347670250896,0.8325060532687654,1,P04637:P27694
TIMM50,KRT40,-0.08954839026246894,0.1625,0.46274509803921565,0.998501872659176,0,Q3ZCQ8:Q6A162
SPNS2,OTUB1,0.2882642313917827,0.11085631540176996,0.3666666666666667,0.24005891016200293,0,Q8IVW8:Q96FW1
RPL29,LYAR,0.23374494949100147,0.09549145299145298,0.3272727272727273,0.3928571428571428,-1,P47914:Q9NX58
CEP63,ANKIB1,0.6406539162198314,0.11805555555555555,0.3333333333333333,0.3968253968253968,0,Q96MT8:Q9P2G1
AKR7A3,CCNG1,0.013529181894258984,0.16801848944706088,0.4271604938271605,0.9571428571428571,0,O95154:P51959
RPLP2,RPS12,0.9582612753174504,0.6474358974358974,0.735070785070785,0.53125,-1,P05387:P25398
NDUFB6,MT-ND1,0.26050911627892015,0.33287419651056016,0.5953439153439153,0.5694444444444444,-1,O95139:P03886
GYPC,MPP1,0.828786232228469,0.0,0.6763888888888889,0.9730639730639732,1,P04921:Q00013
CLDN12,MLXIPL,0.30302176654376595,0.09407127594627594,0.4574074074074074,0.26626984126984127,0,P56749:Q9NP71
HNRNPA3,HIF1A,0.34801505419959433,0.06738498802905238,0.5529411764705883,0.8152679275019701,0,P51991:Q16665
NDUFA9,ARHGAP44,0.20551669945570816,0.11031838531838532,0.2001082251082251,0.5119047619047619,0,Q16795:Q17R89
EIF1,RPS15,0.6580449457200074,0.17254329004329003,0.4399470899470899,0.5428571428571428,-1,P41567:P62841
PES1,RPL10,0.6755177722341572,0.15029449716949717,0.6668498168498167,0.5069444444444444,-1,O00541:P27635
RPS15A,RPS13,0.9771570112751672,0.6994047619047619,0.6767857142857142,0.6355555555555554,1,P62244:P62277
GNG2,STRA8,0.31972586995528185,0.14714452214452214,0.275,1.0,0,P59768:Q7Z7C7
PPP2R3C,NSL1,0.5850605456202389,0.16984126984126982,0.6505952380952381,1.0,0,Q969Q6:Q96IY1
EIF1AD,NOB1,0.6599629332877512,0.1263227513227513,0.5555555555555556,0.5107142857142858,-1,Q8N9N8:Q9ULX3
CENPC,CENPS,0.26170053171571606,0.2571012321012321,0.6448717948717947,0.809375,-1,Q03188:Q8N2Z9
RPL31,EBNA1BP2,0.4389050886004425,0.13392857142857142,0.2761904761904762,0.8125,-1,P62899:Q99848
MBD3,MBD3,1.0,0.29074546485260777,0.44010416666666663,0.9583333333333335,1,O95983:O95983
H2BC10,SLC39A9,0.3470961190727587,0.08773726273726273,0.3208333333333333,0.8709595959595959,0,P62807:Q9NUM3
TIGD1,MID2,0.18626302846581133,0.0,0.14666666666666667,0.9852627257799672,0,Q96MW7:Q9UJV3
SKA2,ZFYVE1,0.27643166061356084,0.16936507936507933,0.26304347826086955,0.5380952380952381,0,Q8WVK7:Q9HBF4
CUL4B,VPS51,0.45094275840969505,0.1280812324929972,0.30961538461538457,1.0,0,Q13620:Q9UID3
KIT,EXOSC4,-0.031049943977836322,0.11952335858585858,0.31721230158730157,0.9349587912087913,0,P10721:Q9NPD3
PSMB10,TOMT,-0.10147911380340736,0.16394300144300145,0.3333333333333333,0.125,0,P40306:Q8WZ04
NSA2,RPL22,0.9541516104005191,0.10277777777777777,0.18903769841269843,0.3114942528735632,-1,O95478:P35268
GJA9,H2AZ2,-0.008160267097179418,0.13333333333333333,0.1349206349206349,0.11696428571428572,0,P57773:Q71UI9
CXCL12,SLAMF1,-0.10001057495920637,0.1895073815073815,0.3759920634920635,0.8386363636363636,0,P48061:Q13291
GABRA1,GABRB2,0.9869441586234592,0.32559523809523805,0.4271164021164021,0.4831168831168831,1,P14867:P47870
EEF2,CHP1,-0.045680793343621816,0.10126929522090813,0.5211484593837534,0.6368253968253968,0,P13639:Q99653
MRPS5,MRPL23,0.44540868684041757,1.0,0.5292424242424242,0.3611111111111111,-1,P82675:Q16540
TIMM8A,PRPS1,0.5796797987282347,0.25167761531397903,0.19166666666666665,0.9563864087301587,0,O60220:P60891
GRB2,PPP2R3C,0.5576477747125393,0.17458236208236208,0.5083333333333333,0.9272727272727272,0,P62993:Q969Q6
HLA-E,BECN1,0.3453634425666058,0.14395053475935826,0.3443036354326677,0.9707207207207208,0,P13747:Q14457
NDUFS1,NDUFV1,0.6595458466446616,0.6044683257918552,0.4863636363636363,0.8356812169312169,1,P28331:P49821
H2BC11,H2BC11,1.0,0.303940503940504,0.48854166666666665,0.7037037037037037,1,P06899:P06899
HLA-E,GCK,-0.19729606359044383,0.11561432168049816,0.48000000000000004,0.32814009661835747,0,P13747:P35557
PABPC1,CAB39,0.5885163589773506,0.1073502886002886,0.38277777777777783,0.8754578754578756,0,P11940:Q9Y376
EPS15,VPS11,0.6263446533776347,0.2237911211595422,0.2400793650793651,0.931687242798354,0,P42566:Q9H270
VDAC1,EMC10,-0.011233135180305947,0.10970017636684302,0.4222222222222223,0.2,0,P21796:Q5UCC4
SNRPD1,IK,0.5330158513216484,0.443859649122807,0.5341991341991342,1.0,-1,P62314:Q13123
CNTNAP3B,SMG9,0.1390710243499357,0.12773139558853844,0.5,0.0,0,Q96NU0:Q9H0W8
SPDYE5,IL13RA1,0.1543188964391802,0.0,0.0,0.28968253968253965,0,A6NIY4:P78552
H2BC11,KMT5B,0.07766062811107628,0.5569444444444445,0.7416666666666667,0.26072390572390575,0,P06899:Q4FZB7
H2AZ1,HOMER2,-0.2943670775893439,0.10256358225108225,0.2877777777777778,0.7470238095238095,0,P0C0S5:Q9NSB8
SNRPF,ARMC7,0.27025419596623174,0.625,1.0,1.0,-1,P62306:Q9H6L4
HOXD12,TMIGD2,-0.08574373305497576,0.10631868131868132,0.29166666666666663,0.6,0,P35452:Q96BF3
NDUFA8,DENND5A,0.1327854947751106,0.11746031746031745,0.1721428571428571,0.35238095238095235,0,P51970:Q6IQ26
OR52R1,KRTAP4-9,-0.0205162781516132,0.125,0.22916666666666666,0.0,0,Q8NGF1:Q9BYQ8
MRPL47,DDX28,0.630001982010915,0.09722222222222221,0.54,0.13733766233766234,-1,Q9HD33:Q9NUL7
RPLP2,RPS24,0.8507516019717694,0.48839285714285713,0.7233766233766233,0.6476190476190476,-1,P05387:P62847
SMAD9,ELOF1,0.12418032844029787,0.1,0.3333333333333333,0.6125,0,O15198:P60002
EFTUD2,ARMC7,0.3633905009923532,0.625,1.0,1.0,-1,Q15029:Q9H6L4
MRM3,MRPS18A,0.5986295972811999,0.13392857142857142,0.2378246753246753,0.24999999999999997,-1,Q9HC36:Q9NVS2
