"ppi","gene1","gene2","co.expression","BP","CC","MF","str_label","non_struct_label","is_preppi","Total"
"P81534:Q15125","DEFB103A; DEFB103B","EBP",0,0,0,0,-1,-1,0,0
"P50213:P51553","IDH3A","IDH3G",0.627839566664639,0.55,0.649801587301587,0.655952380952381,1,1,1,16706979.4414714
"P78383:Q13113","SLC35B1","PDZK1IP1",0.028242838646921,0,0.208333333333333,1,-1,-1,0,0
"P50225:Q8IXF9","SULT1A1","AQP12A",-0.141399475065069,0.1625,0.75,0.154761904761905,-1,0,1,1.5818
"P82650:P82914","MRPS22","MRPS15",0.553460397230619,1,0.503977272727273,0.55,0,-1,1,13.67223561
"P50440:Q5SR56","GATM","MFSD14B",-0.387079935501085,0.111111111111111,0.333333333333333,0.989864864864865,-1,0,1,8.7222991254
"P82663:P82663","MRPS25","MRPS25",1,1,0.632575757575758,1,0,0,0,0
"P50552:Q15942","VASP","ZYX",0.728524389624157,0.110897435897436,0.440477908335051,0.953030303030303,-1,1,1,463.00212982619
"P82663:P82930","MRPS25","MRPS34",0.474577459616641,1,0.626893939393939,1,0,-1,1,7.800880917225
"P50553:P50553","ASCL1","ASCL1",1,0.223047438672439,0.581944444444444,0.579976851851852,-1,1,0,0
"P82663:P82933","MRPS25","MRPS9",0.575185666037685,1,0.55275974025974,0.366666666666667,0,-1,1,192.3181623744
"P50591:Q13158","TNFSF10","FADD",0.325334986036443,0.2509512830165,0.443466223698782,0.888943894389439,-1,1,1,250.887683466598
"P82663:Q16540","MRPS25","MRPL23",0.279012564652565,1,0.529242424242424,0.361111111111111,0,-1,1,24.060953664
"P50607:P61960","TUB","UFM1",0.418905280505335,0.124428002553003,0.585714285714286,0.5,-1,0,1,1.832714562
"P82663:Q4U2R6","MRPS25","MRPL51",0.34931013241642,1,0.495596590909091,0.8125,0,-1,1,6.68359824
"P50749:Q5SWA1","RASSF2","PPP1R15B",-0.0732385317104891,0.243795093795094,0.229166666666667,0.907407407407407,-1,0,1,2.0910979716858
"P82664:P82914","MRPS10","MRPS15",0.542181744258964,1,0.503977272727273,0,0,-1,1,90.9487439080704
"P50897:Q8IWS0","PPT1","PHF6",0.368850340078722,0.135714285714286,0.366666666666667,0.783333333333333,-1,0,1,7.8523104
"P82664:Q16540","MRPS10","MRPL23",0.599847974380794,1,0.529242424242424,0,0,-1,1,2.233706968647
