,ppi,co-expression,BP,CC,MF,SM,PrP,"max(SM,PrP)",PR,OR,PP,GO,EP,Total,label
0,P49901:Q8N831,0.9999599158489236,0.1,0.35,0.9615384615384616,0.0,0.0,0.0,0.0,0.0,2.013,0.0,2.7714,5.5788282,0
1,O95231:P05106,0.2156811345703221,0.1518428477289236,0.3089118825100134,0.8414736164736164,0.29,0.0,0.29,0.9127,0.0,2.013,0.0,1.5818,0.8427939212022,0
2,P83110:Q53T59,0.5270482594955831,0.1428571428571428,0.2,0.85,0.68,3.86531,3.86531,0.0,0.0,2.013,0.17,2.7714,3.66586307305614,0
3,O00115:Q8WYK2,0.6107051864289558,0.1140993265993265,0.1857142857142857,0.5265432098765431,0.22,0.0,0.22,0.0,0.0,2.416,0.0,2.7714,1.473054528,0
4,P02792:Q96H20,0.2658207034765086,0.0836674236360565,0.4753809523809523,0.9732142857142856,0.15,3.66,3.66,0.5125,0.0,1.5978,0.0,3.9008,11.69098372368,0
5,Q13356:Q9Y3Q3,0.4783368685692088,0.1698412698412698,0.2751275510204081,0.0,0.41,0.0,0.41,0.0,0.0,2.013,0.0,2.7714,2.287319562,0
10,O43719:P14678,0.0828442445060721,0.7103174603174602,0.4851279317697229,0.9495370370370372,2.13,2.60197,2.60197,1.2535,0.6153,2.013,0.4,2.1077,3.40585457342931,1
11,Q96MT8:Q9NR11,0.60004206765584,0.1,0.25,0.8085470085470085,0.68,0.0,0.68,0.0,0.0,2.416,0.0,5.6875,9.34388,0
12,O95969:P61758,-0.1639342797339923,0.0,0.3291666666666666,0.0,0.54,0.0,0.54,1.2535,0.0,1.1933,0.0,0.8888,0.7179129455256,0
14,Q30KR1:Q9H299,0.0,0.1428571428571428,0.3388888888888888,0.2222222222222222,0.19,0.0,0.19,0.0,0.0,1.1933,0.0,0.4364,0.0989436628,0
15,P62851:Q96AE4,0.7804264893801858,0.0756410256410256,0.5800000000000001,0.845,0.94,0.0,0.94,1.2535,0.0,2.013,0.0,9.4687,22.458788414799,0
17,P05231:Q9BVM2,-0.0310197153073863,0.242063492063492,0.6,1.0,0.41,0.0,0.41,0.0,0.0,2.013,0.0,1.1757,0.970340481,0
19,P06899:P61077,0.2246876010890319,0.0914859993807362,0.7893939393939394,0.7918595679012346,0.19,0.0,0.19,4.2492,0.6153,0.993,0.0,2.1077,1.0396944672392,1
20,Q16540:Q9NPF7,0.1335251743909257,0.0756746654705838,0.39,0.8518518518518517,0.54,0.0,0.54,0.5125,0.0,1.1933,0.0,2.1077,0.6960590199675,0
21,O95169:O95178,0.5007467234236996,0.3844535094535095,0.6557692307692307,1.0,0.54,0.0,0.54,0.0,0.0,0.0,69.61,45.2798,1702.04051412,1
23,P98172:Q86UZ6,0.1851840882403453,0.1117424242424242,0.4666666666666666,0.1773809523809523,0.29,0.0,0.29,0.0,0.0,2.416,0.0,3.9008,2.733056512,0
25,P47813:Q9BXN6,-0.0752406204165022,0.0,0.6,1.0,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.4364,0.074188,0
29,P57738:Q9Y2L1,0.2566298136503943,0.0924783549783549,0.3954648526077097,0.6654761904761904,0.41,0.0,0.41,0.9127,0.0,1.5978,0.0,1.1757,0.70296037046622,0
31,P15509:Q01844,0.0347354599804683,0.125,0.3488888888888889,0.9083333333333334,0.41,3.84,3.84,2.3254,0.0,2.416,0.0,1.1757,25.3642684280832,0
33,Q99743:Q9NWU5,-0.0314229195917014,0.1339285714285714,0.1956168831168831,0.3333333333333333,0.68,0.0,0.68,0.0,0.0,2.013,0.0,0.7126,0.975435384,0
34,P10809:P50542,-0.0310422414192413,0.2478311189494499,0.4340722495894909,0.7466244725738397,0.54,9.47493,9.47493,0.0,0.6153,1.5978,5.86,9.4687,516.860466137875,0
35,Q9H410:Q9H9P8,0.2947364567664542,0.2291666666666666,0.35,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6875,5.6875,0
36,P35346:Q8IXH7,-0.0034783322688344,0.1111111111111111,0.3302277432712215,0.953125,0.0,0.0,0.0,0.0,0.0,2.013,0.0,0.7126,1.4344638,0
42,O94991:Q96IY1,0.3902170306908706,0.1555555555555555,0.269047619047619,1.0,0.41,0.0,0.41,0.0,0.0,2.416,0.0,1.5818,1.566867808,0
43,P20265:Q8IWT1,0.4676228746998546,0.1283752705627705,0.1825396825396825,0.4524350649350649,0.68,0.0,0.68,0.0,0.0,1.5978,0.0,2.7714,3.0111371856,0
44,A6NNW6:O60831,0.3989317786133603,0.0590277777777777,0.1661375661375661,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,2.013,0.0,0.4364,0.8784732,0
45,Q8NG48:Q96AP0,0.5861305995790373,0.0887996776885666,0.0,0.0,0.41,2.59,2.59,0.0,0.0,2.416,0.0,1.1757,7.356872208,0
48,Q96D46:Q9BPX5,0.2161158651890303,0.1017316017316017,0.3388888888888888,0.2392857142857142,0.0,0.0,0.0,0.0,0.0,2.013,0.0,5.6875,11.4489375,0
49,Q08AD1:Q7L5N1,0.7339828501862705,0.0846560846560846,0.4812499999999999,0.9601190476190476,0.57,0.0,0.57,0.0,0.0,1.5978,0.0,2.1077,1.9195793442,0
51,Q13868:Q9UKT6,-0.0499705126605977,0.1380952380952381,0.7932291666666667,0.7083333333333334,0.41,0.0,0.41,0.0,0.0,1.5978,0.0,2.1077,1.3807500546,0
53,O60516:P06396,0.2286534130687133,0.0730924657395245,0.3893537414965986,0.9778751123090744,0.24,0.0,0.24,1.2535,0.0,2.013,0.0,0.4364,0.264279877488,0
54,O60437:P62318,0.2263899651614036,0.0995980210265924,0.3861382909328115,0.8857723577235771,27.3,0.0,27.3,0.0,0.0,1.1933,0.0,1.1757,38.300884713,0
56,Q96MT8:Q9NYW2,0.0945195319692997,0.1777777777777777,0.3809523809523809,0.3238095238095238,0.68,0.0,0.68,0.0,0.0,2.013,0.0,1.5818,2.165231112,0
59,O75683:P30050,0.697495994340429,0.1180555555555555,0.3864761904761905,0.4523809523809524,0.41,0.0,0.41,2.0764,0.0,1.1933,0.0,5.6875,5.777845534825,0
60,P62841:Q96CT7,0.4624581432098833,0.1444444444444444,0.5066666666666666,0.6041666666666666,0.15,0.0,0.15,0.0,0.0,0.0,0.0,18.4426,2.76639,1
64,P09936:Q14134,-0.1483303058577182,0.1303571428571428,0.1714285714285714,0.9527310924369746,0.22,0.0,0.22,0.0,0.0,2.013,0.0,1.1757,0.520670502,0
66,P62191:P62195,0.6221148358406389,0.4102443609022556,0.8179197994987469,0.9313822751322752,282.86,0.0,282.86,2.409,1850.0086,0.0,24.11,18.4426,560533330.379054,1
68,Q5XKL5:Q8WUW1,-0.0568471730821056,0.0838217338217338,0.3743589743589744,0.0,0.0,0.0,0.0,0.0,0.0,1.5978,0.0,1.1757,1.87853346,0
69,P56277:Q93077,-0.1638303360495414,0.0,0.3125,0.0,0.41,0.0,0.41,0.0,0.0,0.993,0.0,1.5818,0.643998234,0
70,P41219:P63000,-0.0770773767783821,0.1075112316358814,0.7630407124681935,0.9104813762626264,0.0,3.66,3.66,3.124,0.6153,1.5978,0.0,0.7962,8.95001196184537,0
71,P04637:P27694,0.849867766170528,0.4217790440012661,0.9057347670250896,0.8325060532687654,0.23,0.0,0.23,2.3254,0.0,1.5978,69.61,5.6875,338.330354967355,1
72,Q3ZCQ8:Q6A162,-0.0895483902624689,0.1625,0.4627450980392156,0.998501872659176,0.15,0.0,0.15,0.0,0.0,1.5978,0.0,1.1757,0.281780019,0
73,Q8IVW8:Q96FW1,0.2882642313917827,0.1108563154017699,0.3666666666666667,0.2400589101620029,0.0,0.0,0.0,0.0,0.0,2.013,0.0,1.5818,3.1841634,0
75,Q96MT8:Q9P2G1,0.6406539162198314,0.1180555555555555,0.3333333333333333,0.3968253968253968,2.49,0.0,2.49,0.0,0.0,2.416,0.0,3.9008,23.466588672,0
76,O95154:P51959,0.0135291818942589,0.1680184894470608,0.4271604938271605,0.9571428571428572,0.22,0.0,0.22,0.0,0.0,2.013,0.0,1.5818,0.700515948,0
79,P04921:Q00013,0.828786232228469,0.0,0.6763888888888889,0.9730639730639732,0.41,2.77721,2.77721,0.0,0.0,2.416,0.0,5.6875,38.16164261,1
80,P56749:Q9NP71,0.3030217665437659,0.0940712759462759,0.4574074074074074,0.2662698412698412,0.24,0.0,0.24,0.0,0.0,2.013,0.0,1.5818,0.764199216,0
81,P51991:Q16665,0.3480150541995943,0.0673849880290523,0.5529411764705883,0.8152679275019701,0.83,0.0,0.83,0.0,0.6153,2.416,0.0,2.7714,3.4194885199776,0
82,Q16795:Q17R89,0.2055166994557081,0.1103183853183853,0.2001082251082251,0.5119047619047619,0.23,0.0,0.23,0.0,0.0,2.013,0.0,1.1757,0.544337343,0
85,P62244:P62277,0.9771570112751672,0.6994047619047619,0.6767857142857142,0.6355555555555554,80.27,3.52956,80.27,4.2492,30.1977,1.5978,24.11,38.174,15146824.6739568,1
86,P59768:Q7Z7C7,0.3197258699552818,0.1471445221445221,0.275,1.0,0.0,0.0,0.0,0.0,0.0,2.013,0.0,0.6915,1.3919895,0
87,Q969Q6:Q96IY1,0.5850605456202389,0.1698412698412698,0.6505952380952381,1.0,0.0,0.0,0.0,0.0,0.0,1.5978,0.0,18.4426,29.46758628,0
91,P62807:Q9NUM3,0.3470961190727587,0.0877372627372627,0.3208333333333333,0.8709595959595959,0.94,0.0,0.94,0.0,0.0,0.0,0.0,1.5818,1.486892,0
92,Q96MW7:Q9UJV3,0.1862630284658113,0.0,0.1466666666666666,0.9852627257799672,0.54,3.51,3.51,0.0,0.0,1.5978,0.0,0.8888,4.9846374864,0
93,Q8WVK7:Q9HBF4,0.2764316606135608,0.1693650793650793,0.2630434782608695,0.5380952380952381,0.26,3.51,3.51,0.5125,0.0,2.013,0.0,1.1757,4.2573688603875,0
94,Q13620:Q9UID3,0.450942758409695,0.1280812324929972,0.3096153846153845,1.0,0.62,0.0,0.62,0.0,0.0,2.013,0.0,3.9008,4.868432448,0
95,P10721:Q9NPD3,-0.0310499439778363,0.1195233585858585,0.3172123015873015,0.9349587912087912,0.41,0.0,0.41,0.0,0.6153,1.5978,0.0,0.7126,0.28723609025244,0
96,P40306:Q8WZ04,-0.1014791138034073,0.1639430014430014,0.3333333333333333,0.125,0.3,0.0,0.3,0.0,0.0,2.013,0.0,1.1757,0.71000523,0
