ppi,pDockQ,PPV,prot1,prot2,ipTM,iptm_ptm,pTM,pLDDT,pAE,ranking_confidence,LIS,LIA,inter_pae,inter_pae_select,LIA_std,LIA_median,LIA_top5_avg,LIA_top10_avg,LIA_percentage,min_pae_inter,top5_pae_inter,interface_residues_a,interface_residues_b,mean_participation,pae_inter_25th,pae_inter_50th,pae_inter_75th,total_pae_below_cutoff,normalized_interchain,normalized_total,cLIS,cLIA,iplddt_mean,iplddt_chain_a,iplddt_chain_b,ipae_mean,ipae_median,ipae_chain_b,ipae_chain_a,pdockq2_mean,non_struct_label,str_label,nonstr_label_name,str_label_name,is_homo
P81534:Q15125,0.060195203742285,0.636,P81534,Q15125,0.15,0.25,0.65,73.47,14.163,0.32,0.0,0,25.496,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,45834,0.0,0.519606842839166,0.0,0,64.597,51.374,77.819,0.166,0.166,0.17,0.163,0.01,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P50213:P51553,0.7037461511306918,0.981,P50213,P51553,0.87,0.866,0.85,86.36,9.471,0.91,0.572,216882,10.528,5.136,0.171,0.6,0.918,0.918,75.391,0.925,"[0.925, 0.917, 0.917, 0.917, 0.917]",90.7103825136612,83.7150127226463,87.21269761815375,0.475,0.6,0.7000000000000001,441464,0.7539106494806658,0.7663227914130131,0.866,318,95.623,96.084,95.162,0.974,0.974,0.972,0.975,0.859,1,1,HINT-binary-HQ-LC,direct physical interaction,False
P78383:Q13113,0.190604021882353,0.74,P78383,Q13113,0.26,0.338,0.65,70.24,16.194,0.47,0.0,0,26.269,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,85590,0.0,0.4502461913980304,0.0,0,62.652,77.279,48.025,0.193,0.193,0.206,0.179,0.011,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P50225:Q8IXF9,0.0292512917799666,0.559,P50225,Q8IXF9,0.15,0.218,0.49,65.51,20.306,0.26,0.0,0,27.623,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,95111,0.0,0.273228957196208,0.0,0,37.117,36.693,37.542,0.16,0.16,0.164,0.157,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P82650:P82914,0.0236649501237446,0.559,P82650,P82914,0.22,0.276,0.5,72.27,21.25,0.45,0.0,0,27.362,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,108212,0.0,0.2842530254354604,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P50440:Q5SR56,0.2417037987244447,0.778,P50440,Q5SR56,0.16,0.216,0.44,69.89,21.992,0.29,0.0,0,30.484,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,262336,0.0,0.3039670189481148,0.0,0,52.146,40.135,64.157,0.139,0.139,0.13,0.148,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P82663:P82663,0.0914691416068247,0.667,P82663,P82663,0.08,0.136,0.36,68.89,22.363,0.22,0.0,0,29.301,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,29581,0.0,0.2470931203849109,0.0,0,79.262,79.416,79.108,0.138,0.138,0.138,0.139,0.01,0,0,non-interacting pairs,no physical interaction,True
P50552:Q15942,0.2098336289348492,0.759,P50552,Q15942,0.29,0.28,0.24,54.27,29.361,0.6,0.18,2468,30.951,9.835,0.12,0.15,0.607,0.591,0.568,0.625,"[0.625, 0.625, 0.608, 0.592, 0.583]",29.47368421052631,4.020979020979021,16.747331615752667,0.0833333333333333,0.15,0.25,46620,0.0056772175193227,0.0514396935244686,0.312,73,74.401,90.312,58.49,0.462,0.462,0.497,0.426,0.035,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P82663:P82930,0.0584918319957079,0.636,P82663,P82930,0.19,0.252,0.5,81.83,16.614,0.34,0.0,0,25.021,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,60590,0.0,0.39632132181239,0.0,0,79.19,75.952,82.429,0.147,0.147,0.139,0.155,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
P50553:P50553,0.500642417016499,0.9,P50553,P50553,0.35,0.35,0.35,55.56,26.815,0.74,0.582,7935,27.882,5.013,0.267,0.667,0.912,0.91,7.123,0.917,"[0.917, 0.917, 0.908, 0.908, 0.908]",33.05084745762712,33.89830508474576,33.47457627118644,0.375,0.6666666666666666,0.8166666666666668,22101,0.071234918126975,0.0992037130135018,0.8,129,93.441,94.269,92.613,0.917,0.917,0.923,0.912,0.684,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,True
