ppi,pDockQ,PPV,prot1,prot2,ipTM,iptm_ptm,pTM,pLDDT,pAE,ranking_confidence,LIS,LIA,inter_pae,inter_pae_select,LIA_std,LIA_median,LIA_top5_avg,LIA_top10_avg,LIA_percentage,SLIRS,SLIRS_area,SLIRS_std,SLIRS_median,SLIRS_top5_avg,SLIRS_top10_avg,SLIRS_percentage,SC_LIS,SC_LIS_area,ICS_bin,ICS_log,mean_interface,compactness,total_interface_weight,LIP,PWID,ZIES,global_mean,global_std,interface_mean_z,ZCP,iplddt_mean,iplddt_chain_a,iplddt_chain_b,ipae_mean,ipae_chain_b,ipae_chain_a,pdockq2_mean,non_struct_label,str_label,nonstr_label_name,str_label_name,is_homo
P81534:Q15125,0.060195203742285,0.636,P81534,Q15125,0.15,0.25,0.65,73.47,14.163,0.32,0.0,0,25.496,12.0,0.0,0.0,0.0,0.0,0.0,0.003,87.532,0.005,0.001,0.072,0.065,0.284,0.0,0.0,0.0,0.0,0.003,0.0,104.008,0.0,0.0,-1.096,0.033,0.168,-0.191,-0.191,64.597,51.374,77.819,0.166,0.17,0.163,0.01,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P50213:P51553,0.7037461511306918,0.981,P50213,P51553,0.87,0.866,0.85,86.36,9.471,0.91,0.572,216882,10.528,5.136,0.171,0.6,0.918,0.918,75.391,0.853,245377.755,0.481,1.137,1.195,1.195,85.297,0.677,194687.75,1.0,0.715,0.722,0.99,207841.828,5.221,0.237,-0.056,0.015,0.117,-0.116,-0.116,95.623,96.084,95.162,0.974,0.972,0.975,0.859,1,1,HINT-binary-HQ-LC,direct physical interaction,False
P78383:Q13113,0.190604021882353,0.74,P78383,Q13113,0.26,0.338,0.65,70.24,16.194,0.47,0.0,0,26.269,12.0,0.0,0.0,0.0,0.0,0.0,0.006,435.366,0.016,0.0,0.247,0.234,0.593,0.0,0.0,0.0,0.0,0.006,0.0,459.035,0.0,0.0,-0.929,0.022,0.135,-0.15,-0.15,62.652,77.279,48.025,0.193,0.206,0.179,0.011,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P50225:Q8IXF9,0.029251291779966694,0.559,P50225,Q8IXF9,0.15,0.218,0.49,65.51,20.306,0.26,0.0,0,27.623,12.0,0.0,0.0,0.0,0.0,0.0,0.002,273.343,0.007,0.0,0.148,0.137,0.157,0.0,0.0,0.0,0.0,0.002,0.0,331.804,0.0,0.0,-0.665,0.017,0.118,-0.139,-0.139,37.117,36.693,37.542,0.16,0.164,0.157,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P82650:P82914,0.023664950123744602,0.559,P82650,P82914,0.22,0.276,0.5,72.27,21.25,0.45,0.0,0,27.362,12.0,0.0,0.0,0.0,0.0,0.0,0.002,443.824,0.005,0.0,0.065,0.061,0.24,0.0,0.0,0.0,0.0,0.002,0.0,411.238,0.0,0.0,-0.647,0.014,0.111,-0.127,-0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P50440:Q5SR56,0.24170379872444478,0.778,P50440,Q5SR56,0.16,0.216,0.44,69.89,21.992,0.29,0.0,0,30.484,12.0,0.0,0.0,0.0,0.0,0.0,0.0,51.554,0.0,0.0,0.026,0.022,0.012,0.0,0.0,0.0,0.0,0.0,0.0,59.284,0.0,0.0,-0.68,0.011,0.099,-0.112,-0.112,52.146,40.135,64.157,0.139,0.13,0.148,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P82663:P82663,0.09146914160682479,0.667,P82663,P82663,0.08,0.136,0.36,68.89,22.363,0.22,0.0,0,29.301,12.0,0.0,0.0,0.0,0.0,0.0,0.0,22.483,0.001,0.0,0.008,0.008,0.038,0.0,0.0,0.0,0.0,0.0,0.0,23.068,0.0,0.0,-0.594,0.027,0.148,-0.167,-0.167,79.262,79.416,79.108,0.138,0.138,0.139,0.01,0,0,non-interacting pairs,no physical interaction,True
P50552:Q15942,0.20983362893484922,0.759,P50552,Q15942,0.29,0.28,0.24,54.27,29.361,0.6,0.18,2468,30.951,9.835,0.12,0.15,0.607,0.591,0.568,0.006,2428.494,0.058,0.0,1.07,1.065,0.559,0.003,1481.603,1.0,0.004,0.006,0.7,2530.353,4.476,0.0,-0.22,0.008,0.081,-0.088,-0.088,74.401,90.312,58.49,0.462,0.497,0.426,0.035,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P82663:P82930,0.0584918319957079,0.636,P82663,P82930,0.19,0.252,0.5,81.83,16.614,0.34,0.0,0,25.021,12.0,0.0,0.0,0.0,0.0,0.0,0.003,192.768,0.003,0.002,0.03,0.028,0.256,0.0,0.0,0.0,0.0,0.002,0.0,181.629,0.0,0.0,-0.855,0.022,0.142,-0.156,-0.156,79.19,75.952,82.429,0.147,0.139,0.155,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
P50553:P50553,0.500642417016499,0.9,P50553,P50553,0.35,0.35,0.35,55.56,26.815,0.74,0.582,7935,27.882,5.013,0.267,0.667,0.912,0.91,7.123,0.082,9147.751,0.274,0.0,1.195,1.195,8.212,0.056,6267.466,1.0,0.065,0.073,0.891,8176.003,4.682,0.025,-0.098,0.016,0.115,-0.119,-0.119,93.441,94.269,92.613,0.917,0.923,0.912,0.684,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,True
