prot1,prot2,int_prob,model_label,ppi,is_homo,non_struct_label,str_label,nonstr_label_name,str_label_name
A0A024RBG1,P29460,0.0926276668906211,0,A0A024RBG1:P29460,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A075B6R9,Q5BJF2,0.4982120394706726,0,A0A075B6R9:Q5BJF2,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A075B6S6,Q1ED39,0.2514201998710632,0,A0A075B6S6:Q1ED39,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A075B767,Q16236,0.1132604405283927,0,A0A075B767:Q16236,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A087WV53,Q70HW3,0.0001241492427652,0,A0A087WV53:Q70HW3,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A087WWA1,O95837,0.2018154114484787,0,A0A087WWA1:O95837,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A087WWA1,Q49A17,0.4993113279342651,0,A0A087WWA1:Q49A17,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A0A6YYL3,P47869,0.0619084946811199,0,A0A0A6YYL3:P47869,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A0B4J1U6,A0A0B4J268,0.4576549232006073,0,A0A0B4J1U6:A0A0B4J268,False,1,1,HINT-binary-HQ-LC,direct physical interaction
A0A0B4J1U6,P01889,0.4990545213222503,0,A0A0B4J1U6:P01889,False,1,1,HINT-binary-HQ-LC,direct physical interaction
A0A0B4J268,A0A0B4J268,0.4970285296440124,0,A0A0B4J268:A0A0B4J268,True,1,1,HINT-binary-HQ-LC,direct physical interaction
A0A0B4J268,A0A5B6,0.4883457124233246,0,A0A0B4J268:A0A5B6,False,1,1,HINT-binary-HQ-LC,direct physical interaction
A0A0B4J268,P01889,0.4857704043388366,0,A0A0B4J268:P01889,False,1,1,HINT-binary-HQ-LC,direct physical interaction
A0A0B4J272,A0A5B9,0.0002082467544823,0,A0A0B4J272:A0A5B9,False,1,1,HINT-binary-HQ-LC,direct physical interaction
A0A0B4J272,Q6EMK4,0.4994794428348541,0,A0A0B4J272:Q6EMK4,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A0J9YWL9,Q6T311,0.501288115978241,0,A0A0J9YWL9:Q6T311,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A0J9YWL9,Q701N2,0.1666793227195739,0,A0A0J9YWL9:Q701N2,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A0U1RQE8,P54709,0.333538293838501,0,A0A0U1RQE8:P54709,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A183,Q5BLP8,0.0002348725975025,0,A0A183:Q5BLP8,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A1B0GTQ4,Q15942,0.4992129802703857,0,A0A1B0GTQ4:Q15942,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A1B0GTR3,Q9NRI5,0.4995447993278503,0,A0A1B0GTR3:Q9NRI5,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A1B0GUS0,Q2M2E3,0.3330216705799103,0,A0A1B0GUS0:Q2M2E3,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A1B0GV85,Q4G0S4,0.02095159702003,0,A0A1B0GV85:Q4G0S4,False,0,-1,non-interacting pairs,not found in same PDB complex
