ppi,has_templates,pident,fident,evalue,bits
A0A024FSR7:D7NIZ2,0,0.0,0.0,0.0,0.0
A0A024FSR7:D7P897,0,0.0,0.0,0.0,0.0
A0A024FSR7:D8V7I2,0,0.0,0.0,0.0,0.0
A0A024FSR7:H8PGG3,0,0.0,0.0,0.0,0.0
A0A024L8R9:C3SR27,1,37.85,0.37849999999999995,0.00015325000000000419,484.0
A0A045GT82:A0A045IXT2,1,100.0,1.0,2.33569675e-12,560.5
A0A045H4H6:A0A045HTN2,1,97.5,0.975,2.04e-19,1068.0
A0A045H6C3:A0A045HUW8,1,100.0,1.0,1.49550000004401e-15,805.5
A0A045HTN2:A0A045HUG3,1,100.0,1.0,2.036000047475e-09,493.0
A0A045HU18:A0A045IDD2,1,89.0,0.89,4.4095000000000005e-17,1128.5
A0A045HUW8:A0A045HUW8,1,64.1,0.641,4.3964999999999995e-21,845.5
A0A045IWX2:A0A045JKV0,1,95.44999999999999,0.9544999999999999,7.250000143199999e-21,1002.0
A0A060GSX0:A0A060GSX0,1,96.45,0.9644999999999999,1.2145e-51,2111.0
A0A067XG68:A0A067XG68,1,100.0,1.0,1.1023e-19,997.5
A0A067XG68:A0A067XG69,1,98.8,0.988,2.31878e-18,983.0
A0A068QVX9:A0A068QZ94,1,100.0,1.0,1.9395e-41,2086.0
A0A069PXX1:A0A2V3F2U6,1,100.0,1.0,1.83135e-20,866.5
A0A069QC99:E2RXU4,0,0.0,0.0,0.0,0.0
A0A076FT28:A0A076FYV7,1,47.150000000000006,0.47150000000000003,1.9950002142e-08,539.0
A0A076FT36:A0A076FYV2,0,0.0,0.0,0.0,0.0
A0A076FT36:A0A076FYV7,0,0.0,0.0,0.0,0.0
A0A076FYU8:A0A076FYU8,1,59.5,0.595,3.636e-24,1202.0
A0A076FYU8:A0A076FYV7,0,0.0,0.0,0.0,0.0
A0A076FYV2:A0A076FYV7,1,41.3,0.41300000000000003,4.5852285e-08,470.0
A0A077L6X8:A0A077L7R5,1,99.65,0.9964999999999999,3.082e-34,2565.0
