ppi,pDockQ,PPV,prot1,prot2,ipTM,iptm_ptm,pTM,pLDDT,pAE,ranking_confidence,LIS,LIA,inter_pae,inter_pae_select,iplddt_mean,iplddt_chain_a,iplddt_chain_b,ipae_mean,ipae_chain_b,ipae_chain_a,pdockq2_mean,non_struct_label,str_label,nonstr_label_name,str_label_name,is_homo
P81534:Q15125,0.060195203742285,0.636,P81534,Q15125,0.15,0.25,0.65,73.47,14.163,0.32,0.0,0,25.496,12.0,64.597,51.374,77.819,0.166,0.17,0.163,0.01,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P50213:P51553,0.7037461511306918,0.981,P50213,P51553,0.87,0.866,0.85,86.36,9.471,0.91,0.572,216882,10.528,5.136,95.623,96.084,95.162,0.974,0.972,0.975,0.859,1,1,HINT-binary-HQ-LC,direct physical interaction,False
P78383:Q13113,0.190604021882353,0.74,P78383,Q13113,0.26,0.338,0.65,70.24,16.194,0.47,0.0,0,26.269,12.0,62.652,77.279,48.025,0.193,0.206,0.179,0.011,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P50225:Q8IXF9,0.029251291779966694,0.559,P50225,Q8IXF9,0.15,0.218,0.49,65.51,20.306,0.26,0.0,0,27.623,12.0,37.117,36.693,37.542,0.16,0.164,0.157,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P82650:P82914,0.023664950123744602,0.559,P82650,P82914,0.22,0.276,0.5,72.27,21.25,0.45,0.0,0,27.362,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P50440:Q5SR56,0.24170379872444478,0.778,P50440,Q5SR56,0.16,0.216,0.44,69.89,21.992,0.29,0.0,0,30.484,12.0,52.146,40.135,64.157,0.139,0.13,0.148,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P82663:P82663,0.09146914160682473,0.667,P82663,P82663,0.08,0.136,0.36,68.89,22.363,0.22,0.0,0,29.301,12.0,79.262,79.416,79.108,0.138,0.138,0.139,0.01,0,0,non-interacting pairs,no physical interaction,True
P50552:Q15942,0.20983362893484922,0.759,P50552,Q15942,0.29,0.28,0.24,54.27,29.361,0.6,0.18,2468,30.951,9.835,74.401,90.312,58.49,0.462,0.497,0.426,0.035,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P82663:P82930,0.0584918319957079,0.636,P82663,P82930,0.19,0.252,0.5,81.83,16.614,0.34,0.0,0,25.021,12.0,79.19,75.952,82.429,0.147,0.139,0.155,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
P50553:P50553,0.500642417016499,0.9,P50553,P50553,0.35,0.35,0.35,55.56,26.815,0.74,0.582,7935,27.882,5.013,93.441,94.269,92.613,0.917,0.923,0.912,0.684,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,True
P82663:P82933,0.22286470408350265,0.778,P82663,P82933,0.16,0.222,0.47,75.88,21.075,0.34,0.0,0,29.249,12.0,87.051,89.899,84.202,0.122,0.119,0.125,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P50591:Q13158,0.2620349949978865,0.785,P50591,Q13158,0.18,0.22,0.38,74.92,23.442,0.31,0.0,0,28.822,12.0,77.324,74.486,80.162,0.143,0.158,0.128,0.01,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P82663:Q16540,0.0,0.0,P82663,Q16540,0.06,0.136,0.44,84.86,20.016,0.29,0.0,0,30.545,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P50607:P61960,0.3382213124057611,0.834,P50607,P61960,0.25,0.292,0.46,62.07,24.75,0.5,0.0,0,28.841,12.0,64.909,71.224,58.594,0.145,0.15,0.14,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P82663:Q4U2R6,0.040285873646926665,0.636,P82663,Q4U2R6,0.07,0.152,0.48,81.17,19.599,0.32,0.0,0,29.66,12.0,75.474,61.898,89.05,0.127,0.115,0.139,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P50749:Q5SWA1,0.06256308670892732,0.636,P50749,Q5SWA1,0.13,0.158,0.27,49.89,29.728,0.54,0.0,0,31.178,12.0,72.066,84.461,59.671,0.159,0.176,0.142,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P82664:P82914,0.01901069536426964,0.559,P82664,P82914,0.09,0.152,0.4,72.46,23.77,0.39,0.0,0,30.357,12.0,57.8,76.37,39.23,0.097,0.099,0.095,0.009,-1,0,unclear (exclude for analysis),no physical interaction,False
P50897:Q8IWS0,0.45021742382117763,0.886,P50897,Q8IWS0,0.29,0.324,0.46,72.73,23.367,0.43,0.0,0,29.752,12.0,67.794,80.482,55.106,0.173,0.194,0.153,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P82664:Q16540,0.02050456729386452,0.559,P82664,Q16540,0.08,0.146,0.41,77.32,22.332,0.37,0.0,0,30.148,12.0,93.65,94.62,92.68,0.128,0.133,0.123,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
P50995:Q6NW34,0.20754332195944614,0.759,P50995,Q6NW34,0.25,0.282,0.41,60.81,25.342,0.49,0.0,0,28.329,12.0,65.916,56.846,74.986,0.184,0.179,0.188,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P82673:P82914,0.018965187569753683,0.559,P82673,P82914,0.33,0.374,0.55,75.22,19.263,0.56,0.047,1472,23.394,11.431,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P51114:P51116,0.3799021319391223,0.855,P51114,P51116,0.31,0.316,0.34,60.11,27.907,0.52,0.119,6775,29.857,10.577,64.217,66.813,61.621,0.258,0.241,0.276,0.013,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P82673:Q16540,0.024283049109254624,0.559,P82673,Q16540,0.16,0.234,0.53,79.88,19.822,0.4,0.0,0,28.122,12.0,90.415,89.6,91.23,0.133,0.13,0.137,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
P51116:Q9UI14,0.030293440492147043,0.636,P51116,Q9UI14,0.11,0.15,0.31,63.44,27.43,0.35,0.0,0,31.21,12.0,63.344,91.332,35.356,0.13,0.132,0.128,0.009,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P82675:P82914,0.0,0.0,P82675,P82914,0.09,0.17,0.49,73.44,23.156,0.39,0.0,0,31.074,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P51149:P51149,0.07048487041734382,0.667,P51149,P51149,0.13,0.19,0.43,67.42,19.98,0.24,0.0,0,26.931,12.0,57.936,57.845,58.027,0.157,0.157,0.156,0.01,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P82914:P82930,0.0,0.0,P82914,P82930,0.08,0.146,0.41,77.17,22.004,0.32,0.0,0,30.491,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P51157:Q5TYW2,0.055765614313728035,0.636,P51157,Q5TYW2,0.19,0.218,0.33,62.4,27.322,0.34,0.0,0,30.484,12.0,52.825,46.537,59.113,0.126,0.134,0.119,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P82914:P82933,0.0,0.0,P82914,P82933,0.1,0.168,0.44,72.53,23.191,0.34,0.0,0,30.741,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P51157:Q75LS8,0.05526861022125473,0.636,P51157,Q75LS8,0.2,0.25,0.45,57.54,21.486,0.32,0.0,0,26.609,12.0,53.017,48.73,57.305,0.229,0.247,0.212,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
Q4G0W2:Q4G0W2,0.5115347866931501,0.9,Q4G0W2,Q4G0W2,0.62,0.642,0.73,84.17,10.841,0.72,0.319,40337,13.621,8.168,89.818,89.83,89.805,0.765,0.764,0.766,0.309,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P51159:Q5T2L2,0.03739505233821227,0.636,P51159,Q5T2L2,0.15,0.22,0.5,54.25,21.014,0.28,0.0,0,26.99,12.0,46.349,60.983,31.715,0.174,0.162,0.186,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5FBB7:Q86XP6,0.050000638232405636,0.636,Q5FBB7,Q86XP6,0.2,0.218,0.29,51.28,28.949,0.57,0.0,0,30.933,12.0,62.425,46.589,78.261,0.16,0.153,0.167,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P51504:Q5BKX5,0.11451563426529203,0.686,P51504,Q5BKX5,0.17,0.228,0.46,62.09,24.5,0.37,0.0,0,29.941,12.0,62.894,63.112,62.677,0.138,0.135,0.141,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5FWE3:Q5T2R2,0.050584345077561904,0.636,Q5FWE3,Q5T2R2,0.22,0.242,0.33,51.63,28.825,0.53,0.0,0,31.239,12.0,48.412,37.291,59.533,0.13,0.126,0.134,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P51504:Q70Z53,0.20407245821522174,0.759,P51504,Q70Z53,0.26,0.278,0.35,51.47,26.118,0.48,0.153,1105,28.221,10.159,62.328,58.603,66.054,0.366,0.35,0.381,0.018,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5GJ75:Q5GJ75,0.52915288953868,0.91,Q5GJ75,Q5GJ75,0.53,0.516,0.46,65.95,21.253,0.72,0.391,16434,23.677,7.308,77.894,77.676,78.112,0.682,0.682,0.681,0.118,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P51668:Q6UWE0,0.340482692233902,0.834,P51668,Q6UWE0,0.66,0.604,0.38,69.82,24.32,0.69,0.114,3073,26.012,10.635,81.38,85.987,76.772,0.347,0.367,0.327,0.024,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
Q5GJ75:Q5VTH2,0.0,0.0,Q5GJ75,Q5VTH2,0.06,0.12,0.36,58.12,26.137,0.37,0.0,0,31.513,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
P51668:Q86XT4,0.41090064049008085,0.871,P51668,Q86XT4,0.65,0.612,0.46,76.54,20.563,0.68,0.136,7506,24.197,10.368,83.918,85.286,82.55,0.349,0.354,0.344,0.026,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
Q5H9L4:Q8N0X7,0.11613491820726728,0.686,Q5H9L4,Q8N0X7,0.16,0.182,0.27,53.47,29.081,0.37,0.0,0,31.134,12.0,75.564,70.339,80.789,0.149,0.14,0.158,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P62847,0.020493846390761544,0.559,P62280,P62847,0.23,0.296,0.56,87.01,14.925,0.42,0.0,0,23.366,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5JS54:Q5JS54,0.6480926616615628,0.963,Q5JS54,Q5JS54,0.73,0.726,0.71,79.46,9.354,0.78,0.481,21811,10.211,6.228,89.469,89.476,89.461,0.954,0.954,0.954,0.675,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P62280:P62851,0.0,0.0,P62280,P62851,0.04,0.13,0.49,78.66,21.411,0.32,0.0,0,31.584,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,1,0,HINT-binary-HQ-LC,no physical interaction,False
Q5JX71:Q969Y0,0.018856428630868057,0.559,Q5JX71,Q969Y0,0.24,0.326,0.67,75.15,18.036,0.49,0.023,50,30.474,11.72,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P62280:P62857,0.01888866941494722,0.559,P62280,P62857,0.25,0.328,0.64,86.42,12.795,0.42,0.067,733,21.231,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.007,1,0,HINT-binary-HQ-LC,no physical interaction,False
Q5RL73:Q96RU7,0.2314883770254281,0.778,Q5RL73,Q96RU7,0.31,0.338,0.45,57.15,25.007,0.59,0.032,108,27.897,11.619,76.339,67.062,85.615,0.314,0.281,0.346,0.019,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P62280:P62861,0.0,0.0,P62280,P62861,0.06,0.144,0.48,84.24,21.344,0.33,0.0,0,30.855,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5SV97:Q8IWL3,0.1063670753782004,0.686,Q5SV97,Q8IWL3,0.13,0.16,0.28,49.35,29.749,0.51,0.0,0,31.152,12.0,57.805,41.019,74.592,0.099,0.101,0.098,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P62891,0.0,0.0,P62280,P62891,0.04,0.16,0.64,89.25,15.172,0.34,0.0,0,30.207,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5SZQ8:Q5VTL8,0.17232124506791105,0.73,Q5SZQ8,Q5VTL8,0.13,0.16,0.28,56.7,28.941,0.43,0.0,0,31.045,12.0,87.069,84.12,90.018,0.12,0.124,0.117,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P62906,0.0,0.0,P62280,P62906,0.05,0.12,0.4,75.18,20.837,0.17,0.0,0,31.61,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5T0U0:Q96LD8,0.08399988871853178,0.667,Q5T0U0,Q96LD8,0.12,0.19,0.47,71.71,22.822,0.25,0.056,168,29.886,11.328,61.36,65.681,57.039,0.129,0.132,0.126,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P62913,0.0,0.0,P62280,P62913,0.16,0.236,0.54,87.86,16.274,0.32,0.0,0,26.395,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5T1C6:Q86YJ5,0.18679211870129409,0.74,Q5T1C6,Q86YJ5,0.21,0.246,0.39,64.68,24.582,0.44,0.0,0,29.761,12.0,71.442,98.002,44.883,0.205,0.23,0.18,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P62917,0.0219490640443395,0.559,P62280,P62917,0.12,0.212,0.58,88.66,16.403,0.28,0.0,0,28.583,12.0,84.377,74.1,94.653,0.113,0.113,0.113,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5T1J5:Q6P093,0.20069569786109417,0.759,Q5T1J5,Q6P093,0.28,0.368,0.72,79.6,15.761,0.48,0.0,0,28.842,12.0,86.073,75.54,96.605,0.194,0.166,0.221,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P83731,0.0,0.0,P62280,P83731,0.04,0.122,0.45,82.69,22.038,0.35,0.0,0,31.601,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5T442:Q6TGC4,0.09151113681718606,0.667,Q5T442,Q6TGC4,0.21,0.282,0.57,66.45,22.13,0.39,0.0,0,29.372,12.0,68.908,71.454,66.361,0.188,0.202,0.173,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P83881,0.03335018938545389,0.636,P62280,P83881,0.58,0.602,0.69,89.24,9.897,0.76,0.257,16180,13.727,8.922,94.046,95.54,92.553,0.916,0.907,0.925,0.695,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5T4W7:Q5T4W7,0.6902897720169905,0.981,Q5T4W7,Q5T4W7,0.48,0.478,0.47,61.25,23.996,0.76,0.621,20639,24.895,4.549,93.345,93.38,93.31,0.94,0.94,0.94,0.733,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P62304:P83369,0.5070155329340168,0.9,P62304,P83369,0.75,0.686,0.43,66.33,24.637,0.97,0.444,15167,23.884,6.676,91.893,94.057,89.729,0.872,0.876,0.867,0.548,1,0,HINT-binary-HQ-LC,no physical interaction,False
Q5T700:Q96F15,0.12869837028555614,0.706,Q5T700,Q96F15,0.11,0.186,0.49,72.65,21.423,0.3,0.0,0,29.595,12.0,76.622,69.449,83.795,0.139,0.134,0.144,0.01,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P62304:P83876,0.04929786213925662,0.636,P62304,P83876,0.17,0.226,0.45,73.3,19.195,0.26,0.0,0,29.293,12.0,76.368,85.793,66.943,0.161,0.168,0.154,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5T752:Q6L8H2,0.0,0.0,Q5T752,Q6L8H2,0.05,0.062,0.11,37.48,29.077,0.56,0.0,0,31.434,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P62304:Q2TAY7,0.18307650050373217,0.74,P62304,Q2TAY7,0.22,0.29,0.57,80.57,18.862,0.3,0.0,0,27.406,12.0,69.528,51.142,87.914,0.229,0.23,0.228,0.013,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5T871:Q9BYQ6,0.0,0.0,Q5T871,Q9BYQ6,0.05,0.064,0.12,36.25,27.677,0.43,0.0,0,31.263,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P62306:P62306,0.4218337322273549,0.871,P62306,P62306,0.65,0.664,0.72,81.66,9.738,0.78,0.377,10095,12.377,7.473,88.7,93.947,83.454,0.733,0.717,0.748,0.26,1,1,HINT-binary-HQ-LC,direct physical interaction,True
Q5TA79:Q9BYR7,0.019492522341833757,0.559,Q5TA79,Q9BYR7,0.06,0.076,0.14,40.62,26.424,0.36,0.0,0,30.462,12.0,38.524,39.041,38.006,0.139,0.143,0.134,0.008,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
